cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_247_-	Success	0.644911595341227	2	0.524708926769878	0.777152972694815	UBE2Q1
chr1:clu_248_-	Success	0.854027572479936	2	0.425696949303439	0.724742224602561	UBE2Q1
chr1:clu_249_-	Success	1.30657904092368	2	0.270744680404279	0.628201806947927	ADAR
chr1:clu_25_-	Success	1.90338144030818	2	0.149063715995912	0.522231582111669	ZBTB17
chr1:clu_250_-	Success	0.501575990127549	1	0.316549021013171	0.665986284764449	ADAR
chr1:clu_251_-	Success	0.0468365772887864	2	0.954243329880712	0.980111855913848	ADAR
chr1:clu_252_-	Not enough valid samples	NA	NA	NA	NA	SHC1
chr1:clu_253_-	Success	0.257153440376328	2	0.773249556959294	0.896824409069309	CLK2
chr1:clu_254_-	Success	4.17952558786862	3	0.0391457525862681	0.354222727118537	CLK2
chr1:clu_255_-	Success	0.810634523205294	1	0.202914927936985	0.574386472300198	CLK2
chr1:clu_256_-	Success	1.99763625807873	2	0.135655559294876	0.511652063046872	ASH1L
chr1:clu_257_-	Not enough valid samples	NA	NA	NA	NA	YY1AP1
chr1:clu_258_-	Success	1.98649443772047	3	0.264395654134368	0.621987462483472	YY1AP1
chr1:clu_259_-	Success	9.30177420789187	5	0.00227777948864976	0.164135523032587	YY1AP1,GON4L
chr1:clu_26_-	Not enough valid samples	NA	NA	NA	NA	ATP13A2
chr1:clu_260_-	Success	5.73670317695905	10	0.32184291964947	0.666718162945862	YY1AP1,GON4L
chr1:clu_261_-	Success	1.55059104257006	1	0.0782354675294833	0.430835204865609	GON4L
chr1:clu_262_-	Not enough valid samples	NA	NA	NA	NA	GON4L
chr1:clu_263_-	Success	2.10111097641771	1	0.0403710491772232	0.355358441531114	GON4L
chr1:clu_264_-	Success	1.88120215923914	2	0.152406778367883	0.527628460864975	GON4L
chr1:clu_265_-	Not enough valid samples	NA	NA	NA	NA	RIT1
chr1:clu_266_-	Not enough valid samples	NA	NA	NA	NA	KIAA0907
chr1:clu_267_-	Success	0.833750312242955	2	0.434417027996822	0.726808521881683	KIAA0907
chr1:clu_268_-	Success	3.79198347602357	2	0.0225508284347897	0.301912334712634	KIAA0907
chr1:clu_269_-	Success	0.355079242267607	1	0.399391203894136	0.709460204937166	ARHGEF2
chr1:clu_27_-	Not enough valid samples	NA	NA	NA	NA	PADI2
chr1:clu_270_-	Success	1.45731988435568	2	0.23285952962737	0.5985730237408	ARHGEF2
chr1:clu_271_-	Success	0.103343587954328	2	0.901817066763311	0.956399607332769	ARHGEF2
chr1:clu_272_-	Success	0.133759686511496	1	0.605000672743023	0.812695804080602	ARHGEF2
chr1:clu_273_-	Success	1.81455610896865	3	0.304398712340454	0.654118451955742	ARHGEF2
chr1:clu_274_-	Success	0.915393698436674	2	0.400358974356922	0.709938878946868	ARHGEF2
chr1:clu_275_-	Success	2.55525336279925	4	0.276145595435581	0.632898006992075	ARHGEF2
chr1:clu_276_-	Success	0.809680798623276	3	0.655007719354322	0.837465329713135	SSR2
chr1:clu_277_-	Success	1.74154812742313	2	0.175248882897725	0.556780305039648	SMG5
chr1:clu_278_-	Not enough valid samples	NA	NA	NA	NA	GLMP
chr1:clu_279_-	Not enough valid samples	NA	NA	NA	NA	GLMP
chr1:clu_28_-	Success	0.275177218724707	2	0.759437524749005	0.89181867647865	RCC2
chr1:clu_280_-	Success	1.45048761169539	1	0.0885259796010722	0.452553825284653	CCT3
chr1:clu_281_-	Success	2.99718515671611	3	0.111884443052455	0.480292120070354	MEF2D
chr1:clu_282_-	Success	1.19699949753721	2	0.302099303071905	0.652521945162257	MEF2D
chr1:clu_283_-	Success	1.1631584874491	1	0.127202523241699	0.502874524805162	MEF2D
chr1:clu_284_-	Not enough valid samples	NA	NA	NA	NA	IQGAP3
chr1:clu_285_-	Success	1.28311285436803	2	0.277173156502925	0.632898006992075	HDGF
chr1:clu_286_-	Not enough valid samples	NA	NA	NA	NA	ARHGEF11
chr1:clu_287_-	Not enough valid samples	NA	NA	NA	NA	ARHGEF11
chr1:clu_288_-	Success	0.992923101722909	2	0.370492120483593	0.693856884558519	ARHGEF11
chr1:clu_289_-	Not enough valid samples	NA	NA	NA	NA	FCRL1
chr1:clu_29_-	Success	0.967448576600987	2	0.380051474357087	0.697656934570637	UBR4
chr1:clu_290_-	Success	2.80535983631307	2	0.06048500255593	0.400482650080707	SPTA1
chr1:clu_291_-	Success	5.30548526338862	3	0.0140267096775682	0.27334404511328	SPTA1
chr1:clu_292_-	Success	1.16236603223933	5	0.802627658449521	0.909197533248297	SPTA1
chr1:clu_293_-	Success	0.0562479573011387	1	0.737320270713754	0.878739671949477	SPTA1
chr1:clu_294_-	Success	0.594428309143609	1	0.275560311289876	0.632637523096818	SPTA1
chr1:clu_295_-	Success	2.08229593335318	3	0.244230906096494	0.604124419033086	SPTA1
chr1:clu_296_-	Success	7.30301535152859	1	0.000132489873115107	0.0475404838824796	SPTA1
chr1:clu_297_-	Success	0.0600593796762325	1	0.728905721141435	0.874900084130262	SPTA1
chr1:clu_298_-	Success	2.73929654350803	1	0.0192507471900187	0.293573894647785	SPTA1
chr1:clu_299_-	Success	0.0610927740833063	1	0.72667606941648	0.873984220142059	SPTA1
chr1:clu_3_-	Not enough valid samples	NA	NA	NA	NA	CCNL2
chr1:clu_30_-	Success	0.281972842423443	2	0.754294169056576	0.889241954736046	UBR4
chr1:clu_300_-	Success	0.387112699501586	1	0.378913057110359	0.69701763732026	SPTA1
chr1:clu_301_-	Success	3.81954278796229	2	0.0219378288410653	0.30099965983072	TAGLN2
chr1:clu_302_-	Success	3.16114059643132	2	0.04237737801825	0.360030648901567	DCAF8,RP11-574F21.3
chr1:clu_303_-	Success	0.744833608627175	2	0.474813298203939	0.752692598504165	DCAF8
chr1:clu_304_-	Success	0.710092342182634	2	0.491598800058772	0.76168470418047	RP11-574F21.3,PEX19
chr1:clu_305_-	Success	1.16116824707069	2	0.313120165409967	0.661597855559681	PEX19,RP11-574F21.3
chr1:clu_306_-	Success	1.74575944285438	1	0.0616839653331774	0.405903116000412	COPA
chr1:clu_307_-	Success	1.11244608491241	1	0.135802138091934	0.511652063046872	COPA
chr1:clu_308_-	Success	1.65083567241709	2	0.191889484849612	0.569598957461135	COPA
chr1:clu_309_-	Not enough valid samples	NA	NA	NA	NA	CD84
chr1:clu_31_-	Success	2.37147852212911	2	0.0933426150810013	0.459927263323189	UBR4
chr1:clu_310_-	Not enough valid samples	NA	NA	NA	NA	TSTD1,RP11-544M22.13
chr1:clu_311_-	Success	0.243468316705673	2	0.783904312309874	0.901039439436637	USF1
chr1:clu_312_-	Success	0.417072053760421	1	0.36107694784381	0.689164387311402	USF1
chr1:clu_313_-	Success	1.60163103804007	2	0.201567485498851	0.574386472300198	ARHGAP30
chr1:clu_314_-	Success	0.337543164075896	2	0.713521175559624	0.866795315753136	ARHGAP30
chr1:clu_315_-	Success	0.0631342525495597	1	0.722332795546238	0.870968581306988	B4GALT3
chr1:clu_316_-	Not enough valid samples	NA	NA	NA	NA	B4GALT3
chr1:clu_317_-	Not enough valid samples	NA	NA	NA	NA	FCGR3A
chr1:clu_318_-	Not enough valid samples	NA	NA	NA	NA	FCGR3A
chr1:clu_319_-	Success	1.54076483202834	3	0.379224925130211	0.69701763732026	FCGR3B
chr1:clu_32_-	Success	0.00360544056078993	1	0.932327450367061	0.969199920363183	UBR4
chr1:clu_320_-	Not enough valid samples	NA	NA	NA	NA	FCGR3B
chr1:clu_321_-	Success	5.48728339572375	1	0.000923708459180978	0.112692432020079	TMCO1
chr1:clu_322_-	Not enough valid samples	NA	NA	NA	NA	CD247
chr1:clu_323_-	Not enough valid samples	NA	NA	NA	NA	F5
chr1:clu_324_-	Not enough valid samples	NA	NA	NA	NA	F5
chr1:clu_325_-	Not enough valid samples	NA	NA	NA	NA	F5
chr1:clu_326_-	Success	2.33146949179311	1	0.0308203931023226	0.32413768375733	RC3H1
chr1:clu_327_-	Success	2.01443467248038	2	0.133395794367195	0.507736189832409	RC3H1
chr1:clu_328_-	Success	2.07754364275615	1	0.04150963439251	0.357610624463458	RC3H1
chr1:clu_329_-	Not enough valid samples	NA	NA	NA	NA	RC3H1
chr1:clu_33_-	Success	1.04505660713858	1	0.148255083194281	0.521429116692121	UBR4
chr1:clu_330_-	Success	3.2002911550569	2	0.0407503375841116	0.356653985579539	RFWD2
chr1:clu_331_-	Success	4.5281038336957	4	0.0597098091818666	0.399813211865407	RFWD2
chr1:clu_332_-	Success	2.53828629602936	4	0.27953052393967	0.632938454354859	RFWD2
chr1:clu_333_-	Not enough valid samples	NA	NA	NA	NA	RFWD2
chr1:clu_334_-	Success	2.6826463452162	9	0.801373495955117	0.908671213779882	GLUL
chr1:clu_335_-	Success	1.88997419218731	2	0.151075707719627	0.526005603361714	GLUL
chr1:clu_336_-	Not enough valid samples	NA	NA	NA	NA	RNASEL
chr1:clu_337_-	Success	3.60806477333244	5	0.205056311394656	0.574830116522824	NCF2
chr1:clu_338_-	Success	2.50906342415692	4	0.285442619375348	0.638738069768753	NCF2
chr1:clu_339_-	Success	1.04645110465708	1	0.147984710370984	0.521429116692121	NCF2
chr1:clu_34_-	Not enough valid samples	NA	NA	NA	NA	UBR4
chr1:clu_340_-	Success	1.83189201298137	2	0.16011035015884	0.536633591191716	FAM129A
chr1:clu_341_-	Success	3.63681861962073	2	0.0263359956510511	0.313511222508864	FAM129A
chr1:clu_342_-	Success	1.35079274137993	1	0.100248509464049	0.472524985370567	FAM129A
chr1:clu_343_-	Success	1.44091095244534	1	0.0895846098477713	0.453122819296356	TRMT1L
chr1:clu_344_-	Success	0.586452832829764	2	0.556297067789995	0.790591071535942	IVNS1ABP
chr1:clu_345_-	Not enough valid samples	NA	NA	NA	NA	IVNS1ABP
chr1:clu_346_-	Success	6.68148060070507	4	0.00963196248188599	0.250863768624257	TPR
chr1:clu_347_-	Success	1.0745362143511	1	0.142656052248403	0.518938504741591	TPR
chr1:clu_348_-	Success	0.264227413996196	2	0.767798911582267	0.894688007544627	TPR
chr1:clu_349_-	Success	0.273320857324052	2	0.760848624606582	0.892463082360226	TPR
chr1:clu_35_-	Success	0.945747907644545	2	0.38838898315934	0.703436103703079	UBR4
chr1:clu_350_-	Success	1.01267970772369	2	0.363244285689472	0.690923025477324	TPR
chr1:clu_351_-	Success	0.526328994811365	2	0.590769712536176	0.807966891043456	UCHL5
chr1:clu_352_-	Success	3.59555926771446	1	0.00732652963250139	0.223069232019429	UCHL5
chr1:clu_353_-	Success	0.433039115633107	1	0.352043312924425	0.681302936802608	ASPM
chr1:clu_354_-	Success	0.0443279274625752	1	0.765892963008671	0.894638424280105	DENND1B
chr1:clu_355_-	Not enough valid samples	NA	NA	NA	NA	KIF14
chr1:clu_356_-	Success	0.685733571008129	1	0.241559968301632	0.601709640258008	KIF21B
chr1:clu_357_-	Success	0.857620595636945	2	0.424170154853184	0.72424454439093	ARL8A
chr1:clu_358_-	Success	1.09350523159105	3	0.534511434722237	0.783629198399715	PTPN7
chr1:clu_359_-	Success	0.355207661103748	3	0.870751468915466	0.940999787252059	PTPN7
chr1:clu_36_-	Success	1.43917250713997	2	0.237123895850635	0.599384754473167	UBR4
chr1:clu_360_-	Success	0.766051382437638	1	0.21579713137152	0.581760051788425	ADIPOR1
chr1:clu_361_-	Success	4.39887312871031	1	0.00301602893784486	0.184261747463666	PPP1R15B
chr1:clu_362_-	Not enough valid samples	NA	NA	NA	NA	RBBP5
chr1:clu_363_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DSTYK
chr1:clu_364_-	Success	0.0817087666331986	1	0.686029370549769	0.851776747476815	NUCKS1
chr1:clu_365_-	Success	1.74656802328616	2	0.174371356144683	0.554281017447926	CTSE
chr1:clu_366_-	Success	0.889449655476255	2	0.410881817097948	0.714836777829676	EIF2D
chr1:clu_367_-	Not enough valid samples	NA	NA	NA	NA	EIF2D
chr1:clu_368_-	Not enough valid samples	NA	NA	NA	NA	FCMR
chr1:clu_369_-	Success	0.0977100659097232	1	0.658443261073015	0.839044055263294	YOD1
chr1:clu_37_-	Success	5.47210962487793	2	0.00420235740236386	0.203799603331336	UBR4
chr1:clu_370_-	Not enough valid samples	NA	NA	NA	NA	CD34
chr1:clu_371_-	Not enough valid samples	NA	NA	NA	NA	LAMB3
chr1:clu_372_-	Not enough valid samples	NA	NA	NA	NA	LAMB3
chr1:clu_373_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ANGEL2
chr1:clu_374_-	Not enough valid samples	NA	NA	NA	NA	RAB3GAP2
chr1:clu_375_-	Success	2.51021169854278	2	0.0812510366940117	0.437358830722805	RAB3GAP2
chr1:clu_376_-	Success	0.32283278979753	2	0.724094920304135	0.872404892830701	TP53BP2
chr1:clu_377_-	Not enough valid samples	NA	NA	NA	NA	TP53BP2
chr1:clu_378_-	Not enough valid samples	NA	NA	NA	NA	TP53BP2
chr1:clu_379_-	Success	3.50991397606708	2	0.0298994863977118	0.320625946556101	NVL
chr1:clu_38_-	Success	0.991437824937066	2	0.371042812693425	0.693856884558519	EMC1
chr1:clu_380_-	Success	3.87942651845879	4	0.10082198699214	0.472524985370567	WDR26
chr1:clu_381_-	Success	0.653456804117468	2	0.520244282271099	0.775297375217523	WDR26
